,Is it a man?,Dead?,Has children?,Comedian?,Actor?,Older than 50,Bald?,Was/Is a president?,Black?,Polish?,Singer?,Athlete?,Writer?,Scientist?
,man,dead,has_children,comedian,actor,older_than_50,bald,was_is_president,black,polish,Singer,athlete,writer,scientist
jim_carrey,1,0,1,1,1,1,0,0,0,0,0,0,0,0
donald_trump,1,0,1,0,0,1,0,1,0,0,0,0,0,0
barack_obama,1,0,1,0,0,1,0,1,1,0,0,0,0,0
marilyn_monroe,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bruce_willis,1,0,1,0,1,0,1,0,0,0,0,0,0,0
tom_cruise,1,0,1,0,1,1,0,0,0,0,0,0,0,0
andrzej_duda,1,0,1,0,0,0,0,1,0,1,0,0,0,0
eddie_murphy,1,0,1,1,1,1,1,0,1,0,0,0,0,0
robert_lewandowski,1,0,1,0,0,0,0,0,0,1,0,1,0,0
agnieszka_radwanska,0,0,0,0,0,0,0,0,0,1,0,1,0,0
doda,0,0,0,0,0,0,0,0,0,1,1,0,0,0
dawid_podsiadlo,1,0,0,0,0,0,0,0,0,1,1,0,0,0
jrr_tolkien,1,1,1,0,0,1,0,0,0,0,0,0,1,0
lech_kaczynski,1,1,1,0,1,1,0,1,0,1,0,0,0,0
wislawa_szymborska,0,1,0,0,0,1,0,0,0,1,0,0,1,0
julia_roberts,0,0,1,0,1,1,0,0,0,0,0,0,0,0
freddie_mercury,1,1,0,0,0,0,0,0,0,0,1,0,0,0
christiano_ronaldo,1,0,1,0,0,0,0,0,0,0,0,1,0,0
jan_pawel_2,1,0,0,0,0,1,0,0,0,1,0,0,0,0
mikolaj_kopernik,1,1,0,0,0,1,0,0,0,1,0,0,0,1
albert_einsten,1,1,1,0,0,1,0,0,0,0,0,0,0,1
boguslaw_linda,1,0,1,0,1,1,0,0,0,1,0,0,0,0
morgan_freeman,1,0,1,0,1,1,0,0,1,0,0,0,0,0
usain_bolt,1,0,0,0,0,0,0,0,1,0,0,1,0,0
jk_rowling,0,0,1,0,0,1,0,0,0,0,0,0,1,0
maria_sklodowska_curie,0,1,1,0,0,1,0,0,0,1,0,0,0,1